videoid,beeid,colony,sched,caff,flowerid,timin,timeout,totaltime,totaltimeint,notes
B72_B3_60823_945_FR30_1,B72,B3,FR30,No,B3,8:52,8:54,0:02:00,2,B72_FR30_945
B72_B3_60823_945_FR30_1,B72,B3,FR30,No,B4,2:56,3:03,0:07:00,7,B72_FR30_945
B72_B3_60823_945_FR30_1,B72,B3,FR30,No,B4,3:10,3:38,0:28:00,28,B72_FR30_945
B72_B3_60823_945_FR30_1,B72,B3,FR30,No,B4,3:44,3:55,0:11:00,11,B72_FR30_945
B72_B3_60823_945_FR30_1,B72,B3,FR30,No,A2,6:39,6:49,0:10:00,10,B72_FR30_945
B72_B3_60823_945_FR30_1,B72,B3,FR30,No,A2,6:53,7:08,0:15:00,15,B72_FR30_945
B72_B3_60823_945_FR30_1,B72,B3,FR30,No,A2,9:20,9:22,0:02:00,2,B72_FR30_945
B72_B3_60823_945_FR30_1,B72,B3,FR30,No,A4,4:09,4:27,0:18:00,18,B72_FR30_945
B72_B3_60823_945_FR30_1,B72,B3,FR30,No,A4,4:35,4:55,0:20:00,20,B72_FR30_945
B72_B3_60823_945_FR30_1,B72,B3,FR30,No,C2,7:53,8:03,0:10:00,10,B72_FR30_945
B72_B3_60823_945_FR30_1,B72,B3,FR30,No,C2,8:16,8:28,0:12:00,12,B72_FR30_945
B71_B3_61323_201_FR30_1,B71,B3,FR30,No,B3,2:32,2:46,0:14:00,14,B71_FR30_201*
B71_B3_61323_201_FR30_1,B71,B3,FR30,No,A3,3:06,3:23,0:17:00,17,B71_FR30_201
B71_B3_61323_201_FR30_1,B71,B3,FR30,No,C1,7:14,7:16,0:02:00,2,B71_FR30_201
B70_B3_61323_409_FR30_1,B70,B3,FR30,No,B2,0:53,1:49,0:56:00,56,B70_FR30_409*
B70_B3_61323_409_FR30_1,B70,B3,FR30,No,B2,1:51,2:17,0:26:00,26,B70_FR30_409
B70_B3_61323_409_FR30_1,B70,B3,FR30,No,B2,2:19,2:37,0:18:00,18,B70_FR30_409
B70_B3_61323_409_FR30_1,B70,B3,FR30,No,B2,2:41,3:22,0:41:00,41,B70_FR30_409
B70_B3_61323_409_FR30_1,B70,B3,FR30,No,B2,3:25,3:45,0:20:00,20,B70_FR30_409
B70_B3_61323_409_FR30_1,B70,B3,FR30,No,B2,3:49,4:18,0:29:00,29,B70_FR30_409
B70_B3_61323_409_FR30_1,B70,B3,FR30,No,B2,4:22,4:42,0:20:00,20,B70_FR30_409
B70_B3_61323_409_FR30_1,B70,B3,FR30,No,B2,4:46,5:01,0:15:00,15,B70_FR30_409
B70_B3_61323_409_FR30_1,B70,B3,FR30,No,B2,5:04,5:21,0:17:00,17,B70_FR30_409
B70_B3_61323_409_FR30_1,B70,B3,FR30,No,B2,5:26,5:47,0:21:00,21,B70_FR30_409
B70_B3_61323_409_FR30_1,B70,B3,FR30,No,B2,5:50,6:20,0:30:00,30,B70_FR30_409
